T,X,V,A,U
1.990002225285426e-01,	2.059656806428468e+00,	9.004822408141366e-01,	6.910777611265075e-01,	9.915700726581038e-01
2.000002246112831e-01,	2.060557628442481e+00,	9.011506762262720e-01,	6.462040328115108e-01,	9.923057462921431e-01
2.010002265940237e-01,	2.061459096772061e+00,	9.017754600099511e-01,	6.037562000856269e-01,	9.929933718706023e-01
2.020002285767642e-01,	2.062361169053997e+00,	9.023589629596305e-01,	5.636245607092860e-01,	9.936355592442468e-01
2.030002306595047e-01,	2.063263805236591e+00,	9.029034480744332e-01,	5.257032413646812e-01,	9.942347995808036e-01
2.040002326422453e-01,	2.064166967210906e+00,	9.034110742108632e-01,	4.898901471970021e-01,	9.947934693881354e-01
2.050002347249858e-01,	2.065070619330443e+00,	9.038839001876425e-01,	4.560868647240568e-01,	9.953138350347617e-01
2.060002367077263e-01,	2.065974727612909e+00,	9.043238880423059e-01,	4.241986254564836e-01,	9.957980563367572e-01
2.070002387904669e-01,	2.066879260338332e+00,	9.047329070012888e-01,	3.941341983663733e-01,	9.962481909296012e-01
2.080002407732074e-01,	2.067784187252010e+00,	9.051127366414435e-01,	3.658058415749110e-01,	9.966661977500929e-01
2.090002428559479e-01,	2.068689480199031e+00,	9.054650706536814e-01,	3.391291968946462e-01,	9.970539411807237e-01
2.100002448386885e-01,	2.069595112323305e+00,	9.057915198923729e-01,	3.140232295918395e-01,	9.974131944078700e-01
2.110002468214290e-01,	2.070501058592192e+00,	9.060936158999169e-01,	2.904101243184414e-01,	9.977456433027729e-01
2.120002489041695e-01,	2.071407295482131e+00,	9.063728139764796e-01,	2.682152119086822e-01,	9.980528898018863e-01
2.130002508869100e-01,	2.072313800609152e+00,	9.066304962079400e-01,	2.473668872407870e-01,	9.983364552410602e-01
2.140002529696506e-01,	2.073220553291204e+00,	9.068679746703966e-01,	2.277965074390522e-01,	9.985977838839203e-01
2.150002549523911e-01,	2.074127533797568e+00,	9.070864941511301e-01,	2.094383209041553e-01,	9.988382459180093e-01
2.160002570351316e-01,	2.075034723926410e+00,	9.072872351800001e-01,	1.922293678799178e-01,	9.990591407924714e-01
2.170002590178722e-01,	2.075942106274415e+00,	9.074713166083113e-01,	1.761094037938165e-01,	9.992617000575784e-01
2.180002610006127e-01,	2.076849664828004e+00,	9.076397984217124e-01,	1.610208080091979e-01,	9.994470904618077e-01
2.190002630833532e-01,	2.077757384579375e+00,	9.077936842551684e-01,	1.469084954878781e-01,	9.996164167208279e-01
2.200002650660938e-01,	2.078665251204955e+00,	9.079339238511398e-01,	1.337198452529265e-01,	9.997707242240820e-01
2.210002671488343e-01,	2.079573251739463e+00,	9.080614155772873e-01,	1.214045968008577e-01,	9.999110018065798e-01
2.220002691315748e-01,	2.080481373645285e+00,	9.081770086443000e-01,	1.099147918139352e-01,	1.000038184190881e+00
2.230002712143154e-01,	2.081389605628067e+00,	9.082815054572236e-01,	9.920466240146197e-02,	1.000153154575540e+00
2.240002731970559e-01,	2.082297936785988e+00,	9.083756636911885e-01,	8.923059843800729e-02,	1.000256746920825e+00
2.250002752797964e-01,	2.083206357320030e+00,	9.084601984651954e-01,	7.995100061816629e-02,	1.000349748341253e+00
2.260002772625370e-01,	2.084114857769195e+00,	9.085357842788304e-01,	7.132628843828570e-02,	1.000432901238599e+00
2.270002792452775e-01,	2.085023429590007e+00,	9.086030570108500e-01,	6.331873843737412e-02,	1.000506905501316e+00
2.280002813280180e-01,	2.085932064860370e+00,	9.086626157527146e-01,	5.589249067270430e-02,	1.000572420523876e+00
2.290002833107586e-01,	2.086840755980017e+00,	9.087150245851092e-01,	4.901341444929130e-02,	1.000630067161892e+00
2.300002853934991e-01,	2.087749496285142e+00,	9.087608143378765e-01,	4.264908072946128e-02,	1.000680429670048e+00
2.310002873762396e-01,	2.088658279153586e+00,	9.088004841991122e-01,	3.676866471505491e-02,	1.000724057473198e+00
2.320002894589802e-01,	2.089567098924364e+00,	9.088345033364192e-01,	3.134289957961300e-02,	1.000761466951364e+00
2.330002914417207e-01,	2.090475950017884e+00,	9.088633123844583e-01,	2.634399589442182e-02,	1.000793143077145e+00
2.340002934244612e-01,	2.091384827451387e+00,	9.088873249261690e-01,	2.174562169966521e-02,	1.000819541046754e+00
